,sentiment,content
18841,anger,too sick for rigging tomorrow.
24256,anger,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww
16027,anger,@ACMcWhale I always feel guilty about it
14107,anger,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
29894,anger,omg! goooood ass nappy nap  jusss woke up bout 2 clean up a lil then get ready
3211,anger,i never knew a dentention was so hard 2 get
23126,anger,"So, what's so great bout your so called 'wonderful love life'?  For god sake, W-A-T-E-V-A!"
15182,anger,@porcelain_baby @Christomopher your not talking about your obsession with me right???
22180,anger,finally getting sleepy right when the sky brightens ... figures! G'nimorning
27156,anger,@taylorswift13 jet lag must be soo annoyingg! im in uk timee  welcome to ukkkkk  are u coming to scotland at all  ? xxxx
1383,anger,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
13694,anger,"Gah, I sprained my LEFT ankle... Just after I got over the torn ligament for my right foot. Looks like it's back to walking with a cane"
9995,anger,#twitterfails fucking hard right now...this is annoying
1376,anger,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
8408,anger,No gas PLUS no money = Desperation!!!   and that's the word of the day!  http://twitpic.com/66zls
10724,anger,@egheitasean Which denomination? I'm at the library and everything's blocked.
27227,anger,knows its all going to sort itself out
2134,anger,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
12381,anger,"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!"
13323,anger,People at work are stressing me out.
5386,anger,@mashable Link to ff &quot;how it works&quot; is broke!
3564,anger,"@LeahMul awh, thats not good,   get better soon!"
16605,anger,"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane"
16571,anger,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really
15370,anger,@JennyTaylor94  yer it is...poor little cock  but she well doesnt deserve the stick off everyone! cowell once again going against producer
4510,anger,The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.
11132,anger,"Wow, I'm really bored... and pissed I left my library card when I had to take the Booky Wook back..."
17763,anger,FUCK. slept in
494,anger,fuckin'm transtelecom
14518,anger,@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!
20517,anger,finally home for once after a dope ass week
526,anger,Working   But it's Fridaaaayyyyy
12991,anger,@tommcfly Why do you not respond me?
17116,anger,"@maddsie Thanks, none close to me."
611,anger,Packing  I don't like it..
17821,anger,"my sisters fucking pc, just blued screened me"
24307,anger,"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental."
10637,anger,im writing an exam on a SATURDAY  that should be illegal  where's my weekend?
8442,anger,Very bad things.......I need to stop thinking!
8561,anger,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
5037,anger,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!
7203,anger,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
6893,anger,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.
8681,anger,"It's so annoying when I want to go see The Sats, @OfficialJoBros and @ddlovato in concert..but I know I'LL Have to pay"
23031,anger,is downloading new fonts . again  http://plurk.com/p/rplkr
8249,anger,MOtherfuck QW
15501,anger,"Had a shower. it's 5:55 PM. Triple 5's! Crap, it just turned 5:56"
24666,anger,@iaindodsworth Told you that when you got rid of the last one. Did you listen
17513,anger,Apperently ea knows my copy of the sims 3 is not legit and is upset
2618,anger,"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana"
8537,anger,@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set
582,boredom,So deep its priecing my soul
2312,boredom,"Finishing the video. Fuck me, it's so long"
956,boredom,"THIS TWITTER SHIT BORES ME, NOW I C Y I HAVEN'T BEEN ON HERE IN A MONTH"
8946,boredom,@BOPandTigerBeat i love those boys. i missed the chat yesterday  it was the firts &amp; only one i'll miss though! &lt;333 Nick Jonas &lt;3333
12161,boredom,@gillianre i can barely walk- they're twice the usual size  @ least its now&amp; not in NY ;) ive requested my song;) u retquestin owt 2nite?X
3897,boredom,"is boiling in the office, air con any1 ?"
10500,boredom,@spidermonkeyloo Were you going to come? The venue said that they couldn't afford to open so cancelled it. I wish we were there now!
12272,boredom,Bad week for connectivity...Arlington Panera wifi sucks. Maybe head to Legal Seafoods at airport. Dang...missing Metaverse U stream.
9047,boredom,grumble..weather man.. don't know wtf they are talkin about.
6651,boredom,@KatherineLunt Really bored tonight though  Your book I think (Y) xxxxx
16032,boredom,"Facebook won't load for me.  Damn it, I'm bored."
5932,boredom,Youtube isn't working...and I wanted to watch Britains Got Talent.  I'm debating about having a pity party.
17120,boredom,is not liking the online livebox right now. Internet is dead.
15745,boredom,Going crazy  super head ach from hell and my the in laws have ben here since 9 this morning. ahhhh
7965,boredom,Not really feeling like my man cherishes me  wtf ! http://myloc.me/1ZLt
28027,boredom,Good Morning twitters!!! I am soooo tired...I really need 2 stay off of twitter...LOL this shit is taking over my life...LOL
19177,boredom,"Not gonna lie, i'm going to miss high school lunches. A lot. Damn."
7484,boredom,Can't believe how gorgeous the weather has been today &amp; I've had to spend it at work!
4868,boredom,@MeanMillies boo
19835,boredom,Waiting for the dang pizza to cook. It's almost 9 and we still have not eaten wifey fail. Did I mention I feel like crap
5144,boredom,"i dislike math, but math HATES me"
495,boredom,"is really, really bored... I guess I will go to bed"
22525,boredom,doing my folio work but keep on getting distracted by deb pics
2234,boredom,My brother just woke me up to help him with his homework. I'm not happy
5901,boredom,at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes
14553,boredom,Ugh... Waiting.... Interminable...
8319,boredom,"@shaveblog Problem is, Flash isnt GPU accelerated.  The Atom 330 can't play Youtube HD or Hulu HD fullscreen   Big deal with Plex..."
18514,boredom,Is still stuck in the office working!
5571,boredom,Moving in the rain is not fun. Last day in the Hamptons
19265,boredom,I'm so tired. I don't get how I am. I sat on the lawn mower and didn't push the whole damn thing.
2376,boredom,"don't know what to do today.  amazing weather and i'm sitting here, great."
20371,boredom,#todo Cleaning the Apartment - again - who keeps making this mess? oh yeah .. me. $10 + hug for the person to help come clean
20873,boredom,@TrafficMike irregularly. And Im (half-assedly) working on an essay. by saying half-assedly I really mean not at all. Words not even open
12225,boredom,Sitting in the tax collectors office.    Getting ready to write a check.
27039,boredom,@thebirdmachine: About 1pm.  Squeaking?! Hell squeaking?! D:
16972,boredom,"We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes"
1442,boredom,@Natalija been there  sucks like hell.
11053,boredom,"@lmacken I'm stuck in a try-to-merge-two-tools CSS hell, so no help from frameworks  Unless both tools had already used the same framework"
17810,boredom,waiting to go to the movies later for my 6th month. booored.
9396,boredom,jus sittin in da libray and this stupid computer wont let me order any mac foundation
7767,boredom,is bored. my BFF doesn't want to hang out
3927,boredom,Cleaning the old apartment today. Yay...
1485,boredom,is really ultra bored
10123,boredom,I feel like I have to throw up.
2622,boredom,@solobasssteve I'm with you there - filing is so much less fun than sorting cos you still have to look at it &amp; hunt down details
8577,boredom,I totally want some white chocolate macadamia cookies from Mrs. Fields but the mall is soooo far away. Bleh  i think I'll make my own
29029,boredom,i have been in the lounge for HOURS...and i have not been productive at all. upps time to go out
16285,boredom,TGIF... Hubby dragged me out to buy car parts. I am tired n cranky
15583,boredom,@savingtime buuuut its so annoying!!  okay *breathes* x.
19585,boredom,I need to go ouuut. I'm so bored.
3739,boredom,im bored.. RC is goin maintenance
18283,boredom,@xx_Megan_xx Same! Like the kisses on nights when she wasnt up for eviction! They were very badly edited
5967,boredom,@h269 revising as uni exams are looming
4057,boredom,@memow what did you think of the finale?  I thought it was kind of a cheap way out
7719,boredom,BORED.  would love someone to talk to.
19848,boredom,1-Pendulum = awesome! 2-Goodbyes suck  3-Shut up plz. 4-Toy Story 3!!  5-JB 3D MOVIE 2MORO! 6-I'm tired. 7-Aaaand I'm out.
9571,boredom,bored out of my mind
11893,boredom,I have to give up my beloved Red Sox tickets!! Argh! Meeting was just scheduled in CA...
8825,boredom,Just woke up and feels so damn lazy  time to work out damnit!
12176,boredom,Steve Aoki  sorry. May b nxt time.
13795,boredom,@ericmaglio1 i have no phone  whatchu doing tonight sucka. no dane cook she sold the tickets. lamee.
11912,boredom,at home and sick    http://yfrog.com/17zw1j
5061,boredom,bored...disgusting weather..bored..sooo bored for my last weekend here
28155,boredom,I'm SUPER tired and probably could sleep ALL day BUT I work 12:30 to 9:30 today in Tool Rental... Oh the Joy!!
6866,boredom,The gigantic initial inertial to get oneself to work after a deadline
9216,boredom,bored. tired got headache
11871,boredom,@SapphireElia If its sunny go to the beach! Im stuck at home doing essays when its 20 degrees
1103,boredom,Tweeting from the tarmac at Cork Airport. Delayed
26350,boredom,counting the minutes until I can go home
1856,boredom,"Last Chemistry lesson for this school year!  On a brighter note, my birthday will be sandwiched between two days in chemistry lab!"
15354,boredom,@hughsbeautiful beast I have had enough
16352,boredom,@grooveybianca12 nah jkin he's hot! so... bored now
12362,boredom,"Very bored. All day, no one 2 talk 2. Missing my BF (and his kisses). Hols almost over,  don't wanna go back 2 skool."
15486,boredom,Dead stopped in the express lane. This would happen when I choose to take it. No way out now. Ugh. Hopefully this gets moving
11340,boredom,i don't know what to do... time is going by so fast.
29121,boredom,@onamatepiya piyaaa! hi. :] im hyper &amp; im bored &amp; im online &amp; im going to find pictures for the noteboook.  still cant send messages. grr.
1241,boredom,Friday tubes at work are slow..
10181,boredom,fml. forgot alli's dance recital is tonight. now i'm stuck talking to munchkins all night instead of being at devon's bonfire. :/
9034,boredom,"Wow, kinda bothered that Jon is doing deposits now.  Apparently he keeps getting fucked out of times, but deposits are SO hard for me"
4337,boredom,in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes
14630,boredom,@themabster not if you have to be to work at six...
11054,boredom,@lilaznangel16 im looking forward to just getting past this chapter!so annoyin when i have so much that i wanna do and i cant get to it
7791,boredom,Have I mentioned this bus was sloooow? on it for about one hour now
12040,boredom,"Ditto that, my friend...BORED! Oops, now I have an exciting problem"
12379,boredom,is stuck in traffic
1073,boredom,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out
7463,boredom,I want to go to my home!!! D: I don't like stay in the work all alone
15359,boredom,Mikey I'm bored
7789,boredom,i'm so tired  of being sick ALL the time!!!!
12544,boredom,Man i am being boring today not tweeting  How are you guys?
5215,boredom,Ok super bored... guess no one else it
17689,boredom,"longest flight EVER. not particularly unpleasant or uncomfortable, just really really long"
16349,boredom,J Ross you can't leave the killers still singing and run the titles - you should have been edited out for more music - happy - not
9601,boredom,@vmlemon i dont like #kde since ver. 4.0 its like vista  #fail
3557,boredom,i think that studying has really started taking its toll..
19725,boredom,@Candyland3 thats terrible.
12136,boredom,"@random_nexus he has to have a new suitcase, but he is just so bloody indecicive, everytime he wants to buy something it takes HOURS"
23134,boredom,HEY YOU' ALL SUCK;its anybody on there :s im so bored common answear me
11821,boredom,Im bored   -musiic[BOX]
2673,boredom,fo shizzle. . . i'm bored and wanna go do something.  wish i went to pisay today. oh wellz. wonder who were there.
14199,boredom,"even though it's only 7am on Saturday morning, it feels like the weekend is already over. btw I'm awake because I had a bad dream.."
1436,boredom,Gogol Bordello &lt; par.    Prolly not even in the top 10 of GB shows I've seen.   Perhaps some old fashioned Civilization II will help?
3550,boredom,why im not sleeping  !!
28707,boredom,@GregInsco thats another sponsor
5867,boredom,this weekends abouttttto SUCK
9913,boredom,@starstruckfeie  i have no one to watch it with! ma peeps  are actually focused on their finals already!
7311,boredom,Spent too much today!!! Tube journeys always take soo long. Braces on thursdayyy
23030,boredom,#com125: we have a quiz! again .. Feliza is bugging us again  its getting very annoying!
3167,boredom,Again documentation day
17325,boredom,bored fixed the internet for my dad but now im bored to death
8982,boredom,"@Julius_Beez - I'm 20% hetero-challenged, but still didn't care for &quot;Milk&quot;... I thought it was boring."
4867,boredom,trying to finish my ass-ignment.please god help me to finish it
29075,boredom,I'm my mom's company picnic at a Lake Elsinore Storm game. Oh the things we do to please moms
11303,boredom,sitting next to bed. cannot lay down because iPhone charging cable is too short.
17071,boredom,tired as fuck. it's pissing down with rain. i miss summer
345,boredom,why did i agree to work a double shift
19867,boredom,@DanielFielding i tried listenin to music 4 half an hour! Tried readin a really boring book-still wide awake!
16414,boredom,"@dmafiax thanks ALOT, stuck at work with it too"
18499,boredom,ugh lost the remote  gotta actually move to change channel wtf #twat
112,boredom,i'm so tired
18896,boredom,Just started feeling bad again  ugh. I hate it when I don't feel good!!
19465,boredom,got new sneaks today..can't wait to break them in..stupid rain
11251,boredom,"At every gas station, I look for postcards for @Zomuu22  No luck."
14605,boredom,"@thefunkyfairy hiya, hows your week been?? just tried to DM you but your not following!  x"
14119,boredom,is tired. 04:30 alarm setting will do that  Off to bed as soon as my bloody iPhone Backup and Sync finishes.
26642,boredom,reeeejuvinated  and bored as hell.
9327,boredom,On a 10min brake. At wrrkk ... its 11:06 and its over at. 11:16
8057,boredom,ok its been one hour im still waiting im losing my patience
2280,boredom,just woke up day off and need to go in to work that sucks. Also have to go dentist for filling at 12 then st helens for mri scan at 2
26391,boredom,Stuck on NJ Transit for the past twenty minutes. Great way to start the week
15699,boredom,"have to go meet tims entiiiiire family in an hour, this should be different.. finishing getting ready then wake ; feel like shit still"
3742,boredom,I need something t do like hello... Im fucking bored now.  um... yeh...
1158,boredom,Feeling nauseous and can't sleep.
5819,empty,@957TheBeat i want magic mountain tix but i dont get ur station out in paso  boo sux for me
16735,empty,@tatiiiiv me too Tatiiiii!!!
15878,empty,@marykeegin I've been here since 3 and i'm here for 8 more hours tomorrow
18081,empty,i just read online that a symptom of sleeping too much is headaches throughout the day. i have had a headache all day.
18687,empty,@wwsiv  I got it in math and ss only
11542,empty,Wanna see Up in 2D but everyone wants to see it in 3D
19629,empty,"A bunny was eating my moms plants. Naturally, she started shooting. No more bunny."
16690,empty,"@fionaaa_ YEEEAH :'D lmao, dentists aren't nice  espesh after they decide your too old for goodie bags with stickers &amp; awesome toothpaste"
13207,empty,I raced her once. I totally lost  RIP  http://tinyurl.com/lhgca8
17000,empty,@MrsMcFlyGrimmy how was your day ? boredom stuck my head
19400,empty,"if i make some madeleines, i need to have a bake sale or something. god. boredom needs to = something other than baking"
17569,empty,missing mrs mcfox
16781,empty,"@alikat89 Awww, that sucks. Maybe it's on Youtube somewhere?"
15892,empty,@understandblue DANG...when did they plant those thorny bushes there? OUCH...no kitty hugs today
18960,empty,@WaylandSmalley Me neither. But it's no longer about what we want. It's about fairness. And fairness is whatever government says it is.
10639,empty,I dont wanna im to spanish today
8421,empty,I'm bored at work
11779,empty,@INVAZN me too  Thats why im driving down to Cali in July for HIN Pleasanton.
22411,empty,1:30am goin to sleeeeep
5093,empty,home for lunch &amp; double free. work 5-8. so much school work
2242,empty,dog just farted  so bad.....
20350,empty,"just signed up..so, hello twitter world, here I am"
18021,empty,"@JerryShaw i tried changing my pic but twitter is a hater  im a doctor of awesome !! other than that, im just a medical assistant :]"
27828,empty,Maybe going apartment shopping with Ashley?
18677,empty,someone save me from boredom.
10001,empty,"Yep, one of those nights again."
26760,empty,@colbycolberson then stop staying out all night
15652,empty,At the park!  Its raining!
23142,empty,@dawizonline got ya - that wouldn't be so bad tho right?
25753,empty,Off to work I go!
525,empty,wut do i do now????
10519,empty,Breaking the daily build broke my daily plan as well
18657,empty,@Octo77  aaaawww  would u like an alcoholic beverage of your choice?
1068,empty,@Steinmoney      You'll be missed!!  Bring me back  a keychain!
12482,empty,@YoungQ  ahhhh it won't let me watch the video on my phone
28264,empty,"@strawfoot @markn @johnhalton No, seriously you guys, I /wanted/ to kick Monday off with #starwarswithaddedpants spam.  Really"
18060,empty,"My nose is chapped, yuck"
16916,empty,"@Chells oh, i have books on that but no practical experience"
6211,empty,@MegaByte6 me too
9614,empty,@tommcfly  and you only respond to ddlovato that is not your fan
20290,empty,"@paul_augustine Yes, it is. Though not in coffee   So what's your favorite brand?"
28802,empty,@Courtney_ @beachbum77
14509,empty,Work...work....work....
2306,empty,"Just watched Mall Cop. Wasn't that funny, but wasn't too bad. I guess. I kinda wish I still worked at a movie theater...."
4039,empty,is so bored...
19487,empty,oh God! Bicycle accident just across the street from our house. I think fatal. Cyclist died near same place 2 yrs ago. We need bike lanes
12156,empty,There is nothing for me to do here @ wk i should just go home... Or i can go look at bathing suits  bah humbug lol
10923,empty,@dougiemcfly me too
22299,empty,@threebears That's why i'll be sticking to twitter clients.
17896,empty,@jollyassjerk it's month end  I'm here till 11
23048,empty,@sam_burnett Firmly embedded in her Hampstead constituency then
21110,empty,got the twilight board game today  good old ebay..
4564,empty,It's supposed to be even hotter today than yesterday.  Wearing shorts to work.
19699,empty,@rowlikewow i think i hate you.  i didnt really want to but you make it hard for me to like you what with the cake and concert on the  ...
29836,empty,So my coworker/friend told me the manager who sent me home is afraid she's in trouble for sending me home haha. Dumb bitch
5314,empty,@GeezusHaberdash Awww   I told you when I would change it. I suggest you try to get in touch w/ Dre's people. LOL
13779,empty,"@TomVMorris Tom, your FB link isn't working."
20666,empty,@tashkaa  hey are you there?Oyy i geas you sleep...
12241,empty,"@VANS_66 I haven't had slip-ons in years, since my checkered days. Matter of fact I only have my torn up all black classics."
5229,empty,@ShakeYourJunk
27571,empty,"Time to add some more RFID-ed object to send messages to Twitter everytime I use them - 2 more coffee cups, Armani Code, Pantone 109 mug"
4782,empty,@Dojie oooh lush. i cant sunbathe i burn way to easily even with sun cream  @sofisticat im great thanks lovely sunny day no?
10331,empty,"@LBigs sooo, i saw RObs car drive by. but that was about it"
919,empty,@allyycase I'm trying to sleep!!! It's not working
2894,empty,I fall asleep and didnt get to see the jonas brothers web cast  ... Still tierd
10253,empty,"Party, aber Subway alle   http://yfrog.com/0ayzyj"
17984,empty,Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room
4607,empty,@DeAnnLR :::just got it cut yesterday  http://twitpic.com/66ncy
16124,empty,"@Rozrad: That was a parking meter, not a streetlight, wasn't it?"
8903,empty,Having Problems With My BlackBerry UGH I need another charged Battery! (@ least 4 now)  @sexyhunnybunny
6389,empty,Is not looking forward to the LSAT
339,empty,I need to be sleeping.. But i'm not even tired..
1762,empty,"@Lacrimae Pfft, there you go with the logic again!"
25236,empty,@_AislinnTighee yeah. you're really annoying
15196,empty,@_MeesLovesYou_ Grounded from the computer... sucks for you.
23796,empty,@Kaelex you're back?
15777,empty,because it is too hot i am sleeping with the window open. just means all the noise will make me up early
3784,empty,@Jayce_Kay Morning! Hows your day. Hope you're not another lying in the sun
12721,empty,"@Bvictor Nerves I think, Im not sure"
26936,empty,@dexmans why windows vista
27882,empty,Going to get some coffee
24950,empty,@iantalbot  Who was it that said Vive le difference to me only the other day? ;-)
19707,empty,@thatitaliangirl oh yeah
24838,empty,@xHayleeey no.1 dont really mean anything to me anymore :L it did when good old top of the pops was on every sat or friday or something
29761,empty,@Bethsybsb
16334,empty,@stevyncolgan What are you confused about?
18360,empty,feels f*cked! and feet are aching  need my beeeeeddddddd!!!
23938,empty,@Twinklybird Ace @ the exams!
26244,empty,"@endlessblush I was ready half an hour ago, but you didn't notice. I'm over it now."
17442,empty,I don't saw the movie
25603,empty,@OhSweetNibblets ok thanks  do you like my new pic? http://twitpic.com/4jewc
21398,empty,@sickophantikmnd Exactly! Silent treatment is a great torture method
25709,empty,"????? ,my latest obession."
1199,empty,@makavellirayne nah the lights killed the mood now you got to get out my bed
26792,empty,Talk at you all lates!
24369,empty,"has got my xbox back  , i have a really sore knee cant walk"
5196,empty,Facebook.com isint letting me change my profile picture
8409,empty,"@dannyid the balance is ~$8,000. unfortunately i havent been able to find a card that has a limit high enough to transfer the whole thing"
5290,empty,I don't want to program today
8146,empty,finished the noodles. done the dishwasher. really really warm. i don't like it
27547,empty,@VWRmurder Thanks
26351,empty,up.....i nEEd coFFee. b0ut2get ready2start this new day in my lie
18803,empty,"had to rumage around topless in the freezer to find something to eat, all I found was a suspect pizza"
22284,empty,@claudiatan http://twitpic.com/4jber - aww .... then we wonder why they hate us later..... lol!!
15512,empty,@trinibwoy718 awww my trini no esata bien bendito  too bad i cant fly in and make u feel better
2548,empty,"what the hell am i doing awake this early,"
17214,empty,@WhoaOhNo  ?
4504,empty,"@alanmcnamee nope no idea, I've registered, so far no response"
2506,empty,Curse you breakfast gods....full bowl of cereal + not enough milk =
27125,empty,salt and vinegar
25058,empty,Who wants me to spoil the ending for them?
3376,empty,@DonnieWahlberg lol i wos gona send mine in bt i was too late  xx
10116,empty,"gor i am soo bored, man i don't think i could get any more bored"
17153,empty,Tropical Depression 1 heading east. MrSal65 scared this one off   Welcome to start of Hurricane Season '09.  Still looking 4 more FL subs.
180,empty,Have a headache  I'm going to bed. Goodnight!
5364,empty,@DsBabyGirl  having a stressful morning! just got my computer back (crashed) - trying to reinstall everything.
18212,empty,Goddamn bloody stress and shit sending my body haywire
19036,empty,Boo Im lonely and bored
23781,empty,@palinn So Palin got the new haircut
11841,empty,@Shaunielove awww sowy shortie
8116,empty,Piz's last lunch in b-dubb
6150,empty,@runpaintrunrun @wordsnfixtures not Pimm's in a can?
6769,empty,Gonna nap n chill then probably go to the movie later. Ugh i have a headache this sux ass. Cloudy day too
6023,empty,Female and Male 3 year old Labs looking for new home  Family is loosing their home. Both must stay together. Contact me if interested.
27680,empty,@LadyonAcres when i have to make a decision like that i always choose Black.....
13772,empty,@tom_pollard I have no denial for this because it is the fucking truth
11012,empty,Well. The jag just took a shit on my way home from training  I hope it's just the alternator.
1446,empty,@wolfofmibu   I need a wardrobe intervention
9961,empty,@XJakeXChaosX bored
17062,empty,@Elixabef I hear you   Any time earlier than 11am is just mean!
25187,empty,"@BecaBear P.S. Culled a handful, esp followers (spam ones with NSFW links that I did NOT click on). You made the cut though"
10057,empty,IN $RF @3.94 - target $5.30.  OUT $DNDN @$21.85 near days low
16643,empty,"@Evulh I do text to twitter sometimes, but I don't receive any on my phone so...."
7552,empty,"Do fish feel pain? Yes, says a new study.  http://is.gd/Jbcg"
5015,empty,"@wrhunt and what did you do last night, I don't recall being invited"
1862,empty,@LittleLee yup! way to fucking early and I'm already at work
7635,empty,Haih.. Cannot sleep lar..
1713,empty,so had a freakin lond thursday  ready to hit the hay and surprise surprise I can't freakin sleep :/ Boo!
19795,empty,@lownleeeynjul oh that stinks..
16564,empty,Not found: the thing I was looking for
8612,empty,is watching Mock the Week and is slowing cooking
26369,empty,"Law of Attraction - Some assembly (action) required  If u have asked 2 enter medical school, u still need 2 fill out the application"
19777,empty,@shababi88 i love the game! that's my show... suuuppper pissed it got cancelled!
23050,empty,"@se7en.up cï¿½m on anh  ko the chiu noi no~i nhï¿½ Tifa roi :-D, thang Cloud danh dam gi mac ke no :&quot;&gt;"
2184,empty,sleep? what's sleep again? I've seem to have forgottten the meaning. too much on my mind. or it's just my usual insonmia.
25180,empty,"@mizzannabel im not a supermodel, i still eat mcdonalds baby thats just me!  xxx"
709,empty,Is ANYBODY up? .... I'm sooo bored!
203,empty,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4
52,empty,@djmicdamn hey yu lil fucker i textd yu
27108,empty,weee! internet is back here at home!
25042,empty,waiting for my mom to get home
11543,empty,@Sampalm  i can't vote for  her i'm #frustraded  :@
18093,empty,Starting to get annoyed with socialscope. Need an update
23858,empty,@ibanezShezz i like the optimism
9928,empty,@notdiyheather although I know he would never be okay with a homebirth. Moot point since we're done w/ babies
6657,empty,@alisonhaislip I envy everyone on AOTS...
5898,empty,ahh i hate when you bbrush your teeth so hard you make your gums bleed
13488,empty,Another lonely night?
27801,empty,@RockabillyTees are you are a RIOT!!
19805,empty,I can't believe how tired I am right now... I don't know if I can go out tonight...   Exhaaaausted!!
17047,empty,i think i have a fever
5650,empty,@finnmacool I am lost. Please help me find a good home.
16243,empty,Now I want ice cream but it's so expensive.
3462,empty,"@timwhitlock err you can turn on optimized js+css &amp; caching once we deploy the thing, but I hear what you're saying"
9203,empty,@emuhleepee Why?
857,empty,"Should have gone to bed ages ago, damn you tedtalks!  Gotta get up early too"
16294,empty,"@freckles08x   plus, it is going to clash with ugly betty when channel 4 shows season 3 next month as well. grrr  !"
11199,empty,typical Google Docs is down  oh well open Pages
15185,empty,"@saryros haha.. yes, i'm jealous! i don't have money to do all that!"
17255,empty,Chino - Gentleman Jack is pouting because Mommy is gone to dinner.  http://apps.facebook.com/dogbook/profile/view/6891977
27493,empty,@Clare_Josa how exciting!!! looking forward to pics on facebook  xxx
19066,empty,@juandeleon1021 don't be mean....I'm having to give him to my brother this weekend
18180,empty,@otterbecca tht sucks!!! i know the feeling! sorry  let me know if the movie is good!
19489,empty,is SOOOOO hungry right now! Should've eaten before this wedding.
13031,empty,Fidel has no balls
11956,empty,Just came back from school.... Packing for my dad's house
27069,empty,"@Janet_Reid Lol. It was the dissing of the were-octopus that did you in. However, he redeems himself by rescuing you from a were-spider."
24045,empty,"@trishaelyca  not really, all in all, if im not mistaken, mga less than 1k each lng ang gastos namen..."
22539,empty,in IT-lesson at school and eating salad
27044,empty,@BerinKinsman Does this happen every monday?
